"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
Qatar,693,,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
Egypt,656,,41.0,,150.0,465,,6.0,0.4,Feb 13
New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27
Iraq,630,,46.0,,152.0,432,,16.0,1.0,Feb 21
UAE,611,,5.0,,61.0,545,2.0,62.0,0.5,Jan 28
Algeria,584,,35.0,,37.0,512,,13.0,0.8,Feb 24
Morocco,574,+18,33.0,,15.0,526,1.0,16.0,0.9,Mar 01
Ukraine,549,+1,13.0,,8.0,528,,13.0,0.3,Mar 02
Lithuania,533,+42,7.0,,7.0,519,27.0,196.0,3.0,Feb 27
Armenia,532,+50,3.0,,30.0,499,15.0,180.0,1.0,Feb 29
Bahrain,515,,4.0,,295.0,216,2.0,303.0,2.0,Feb 23
Hungary,492,+45,16.0,1.0,37.0,439,6.0,51.0,2.0,Mar 03
Lebanon,463,+17,12.0,1.0,35.0,416,7.0,68.0,2.0,Feb 20
Bosnia and Herzegovina,411,+43,10.0,,17.0,384,1.0,125.0,3.0,Mar 04
Latvia,398,+22,,,1.0,397,3.0,211.0,,Mar 01
Bulgaria,379,+20,8.0,,17.0,354,13.0,55.0,1.0,Mar 06
Andorra,370,,8.0,,10.0,352,10.0,4789.0,104.0,Mar 01
Slovakia,363,+27,,,7.0,356,1.0,66.0,,Mar 05
Tunisia,362,,9.0,,3.0,350,10.0,31.0,0.8,Mar 01
Kazakhstan,336,+34,2.0,1.0,22.0,312,6.0,18.0,0.1,Mar 12
Costa Rica,330,,2.0,,4.0,324,7.0,65.0,0.4,Mar 04
Taiwan,322,+16,5.0,,39.0,278,,14.0,0.2,Jan 20
Uruguay,320,,1.0,,25.0,294,9.0,92.0,0.3,Mar 12
Moldova,298,,2.0,,18.0,278,44.0,74.0,0.5,Mar 06
Kuwait,289,+23,,,73.0,216,13.0,68.0,,Feb 23
North Macedonia,285,,7.0,,12.0,266,1.0,137.0,3.0,Feb 25
Azerbaijan,273,,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
Jordan,268,,5.0,,26.0,237,5.0,26.0,0.5,Mar 01
Burkina Faso,246,,12.0,,31.0,203,,12.0,0.6,Mar 08
Albania,243,+20,13.0,2.0,52.0,178,8.0,84.0,5.0,Mar 07
San Marino,230,,25.0,,13.0,192,16.0,6778.0,737.0,Feb 26
Cyprus,230,,7.0,,22.0,201,3.0,190.0,6.0,Mar 08
Réunion,224,,,,1.0,223,,250.0,,Mar 10
Vietnam,207,+3,,,57.0,150,3.0,2.0,,Jan 22
Cameroon,193,+54,6.0,,5.0,182,,7.0,0.2,Mar 05
Oman,192,+13,,,34.0,158,3.0,38.0,,Feb 23
Senegal,175,+13,,,40.0,135,,10.0,,Mar 01
Afghanistan,174,+4,4.0,,5.0,165,,4.0,0.1,Feb 23
Cuba,170,,4.0,,4.0,162,2.0,15.0,0.4,Mar 10
Faeroe Islands,169,+1,,,74.0,95,3.0,3459.0,,Mar 03
Malta,169,+13,,,2.0,167,2.0,383.0,,Mar 06
Ivory Coast,168,,1.0,,6.0,161,,6.0,0.04,Mar 10
Uzbekistan,158,+9,2.0,,7.0,149,8.0,5.0,0.06,Mar 14
Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
Belarus,152,,,,47.0,105,2.0,16.0,,Feb 27
Mauritius,143,+15,3.0,,,140,1.0,112.0,2.0,Mar 17
Honduras,141,+2,7.0,,3.0,131,4.0,14.0,0.7,Mar 10
Channel Islands,141,,3.0,1.0,,138,,811.0,17.0,Mar 08
Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12
Nigeria,135,+4,2.0,,8.0,125,,0.7,0.01,Feb 27
Sri Lanka,132,+10,2.0,,16.0,114,5.0,6.0,0.09,Jan 26
Brunei,129,+2,1.0,,45.0,83,3.0,295.0,2.0,Mar 08
Palestine,117,,1.0,,18.0,98,,23.0,0.2,Mar 04
Georgia,110,+7,,,21.0,89,6.0,28.0,,Feb 25
Cambodia,109,+2,,,23.0,86,1.0,7.0,,Jan 26
Bolivia,107,+10,6.0,2.0,,101,3.0,9.0,0.5,Mar 09
Kyrgyzstan,107,+13,,,3.0,104,,16.0,,Mar 17
Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
Montenegro,105,+14,1.0,,,104,1.0,167.0,2.0,Mar 16
DRC,98,+17,8.0,,2.0,88,,1.0,0.09,Mar 09
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Trinidad and Tobago,85,+2,3.0,,1.0,81,,61.0,2.0,Mar 11
Mayotte,82,,,,10.0,72,3.0,301.0,,Mar 13
Rwanda,70,,,,,70,,5.0,,Mar 13
Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02
Paraguay,65,+1,3.0,,1.0,61,3.0,9.0,0.4,Mar 06
Liechtenstein,64,+2,,,,64,,1679.0,,Mar 02
Isle of Man,60,+11,,,,60,,706.0,,Mar 18
Bangladesh,51,+2,5.0,,25.0,21,1.0,0.3,0.03,Mar 07
Kenya,50,,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
Aruba,50,,,,1.0,49,,468.0,,Mar 12
Monaco,49,,1.0,,1.0,47,,1249.0,25.0,Feb 27
Madagascar,46,+3,,,,46,6.0,2.0,,Mar 19
French Guiana,43,,,,6.0,37,,144.0,,Mar 06
Macao,38,,,,10.0,28,,59.0,,Jan 21
Guatemala,36,,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
Jamaica,36,,1.0,,2.0,33,,12.0,0.3,Mar 09
French Polynesia,36,,,,,36,2.0,128.0,,Mar 10
Zambia,35,,,,,35,,2.0,,Mar 17
Barbados,34,+1,,,,34,,118.0,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
El Salvador,32,+2,,,,32,5.0,5.0,,Mar 18
Togo,30,,1.0,,1.0,28,,4.0,0.1,Mar 05
Mali,28,+3,2.0,,,26,,1.0,0.1,Mar 24
Niger,27,,3.0,,,24,,1.0,0.1,Mar 18
Bermuda,27,,,,10.0,17,,434.0,,Mar 17
Ethiopia,25,+2,,,2.0,23,2.0,0.2,,Mar 12
Guinea,22,,,,,22,,2.0,,Mar 12
Tanzania,19,,1.0,1.0,1.0,17,,0.3,0.02,Mar 15
Congo,19,,,,,19,,3.0,,Mar 14
Djibouti,18,,,,,18,,18.0,,Mar 17
Maldives,18,+1,,,13.0,5,,33.0,,Mar 06
Gabon,16,+9,1.0,,,15,,7.0,0.4,Mar 12
New Caledonia,16,+1,,,,16,,56.0,,Mar 17
Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
Eritrea,15,,,,,15,,4.0,,Mar 20
Haiti,15,,,,1.0,14,,1.0,,Mar 19
Myanmar,14,,1.0,1.0,,13,,0.3,0.02,Mar 22
Bahamas,14,,,,1.0,13,,36.0,,Mar 14
Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
Dominica,12,,,,,12,,167.0,,Mar 21
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Mongolia,12,,,,2.0,10,,4.0,,Mar 09
Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12
Namibia,11,,,,2.0,9,,4.0,,Mar 13
Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Seychelles,10,+2,,,,10,,102.0,,Mar 13
Grenada,9,,,,,9,,80.0,,Mar 21
Laos,9,+1,,,,9,,1.0,,Mar 23
Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
Eswatini,9,,,,,9,,8.0,,Mar 13
Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
Zimbabwe,8,+1,1.0,,,7,,0.5,0.07,Mar 19
Guinea-Bissau,8,,,,,8,,4.0,,Mar 24
Libya,8,,,,,8,,1.0,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Suriname,8,,,,,8,,14.0,,Mar 12
Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19
Sudan,7,+1,2.0,,,5,,0.2,0.05,Mar 12
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Chad,7,+2,,,,7,,0.4,,Mar 18
Saint Kitts and Nevis,7,,,,,7,,132.0,,Mar 24
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
Benin,6,,,,1.0,5,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491.0,,Mar 05
St. Barth,6,,,,1.0,5,,607.0,,Feb 29
Sint Maarten,6,,,,,6,,140.0,,Mar 17
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6.0,,Mar 18
Montserrat,5,,,,,5,,1002.0,,Mar 17
Turks and Caicos,5,,,,,5,,129.0,,Mar 22
Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5.0,,Mar 05
Belize,3,,,,,3,,8.0,,Mar 22
Botswana,3,,,,,3,,1.0,,Mar 29
British Virgin Islands,3,+1,,,,3,,99.0,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,1.0,2,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81518,+79,3305.0,5.0,76052.0,2161,528.0,57.0,2.0,Jan 10
Total:,801064,"+16,349",38769.0,986.0,172319.0,589976,30289.0,102.8,5.0,
